symbol,n_days,coverage
EIX,864,0.6857142857142857
EXPD,864,0.6857142857142857
CB,862,0.6841269841269841
DOW,862,0.6841269841269841
DXC,862,0.6841269841269841
VTR,862,0.6841269841269841
JBHT,860,0.6825396825396826
COO,859,0.6817460317460318
IR,859,0.6817460317460318
IRM,859,0.6817460317460318
SPG,859,0.6817460317460318
ROK,858,0.680952380952381
CFG,857,0.6801587301587302
WU,857,0.6801587301587302
DISCK,856,0.6793650793650794
EMN,856,0.6793650793650794
LH,856,0.6793650793650794
EQIX,854,0.6777777777777778
VRSK,854,0.6777777777777778
EL,852,0.6761904761904762
PH,852,0.6761904761904762
PSA,852,0.6761904761904762
LEG,851,0.6753968253968254
MTD,851,0.6753968253968254
SEE,851,0.6753968253968254
DISCA,850,0.6746031746031746
PWR,850,0.6746031746031746
WM,850,0.6746031746031746
AMP,849,0.6738095238095239
DUK,849,0.6738095238095239
IPG,849,0.6738095238095239
IVZ,848,0.6730158730158731
WAT,848,0.6730158730158731
HBAN,847,0.6722222222222223
CMA,846,0.6714285714285714
MSI,846,0.6714285714285714
NDAQ,846,0.6714285714285714
FBHS,845,0.6706349206349206
ESS,844,0.6698412698412698
AES,843,0.669047619047619
AGN,843,0.669047619047619
AIZ,843,0.669047619047619
ANET,843,0.669047619047619
EXC,843,0.669047619047619
APH,842,0.6682539682539682
WLTW,842,0.6682539682539682
ALL,841,0.6674603174603174
BEN,840,0.6666666666666666
LNC,840,0.6666666666666666
NTRS,840,0.6666666666666666
NWSA,840,0.6666666666666666
AON,839,0.6658730158730158
AVB,839,0.6658730158730158
CHD,839,0.6658730158730158
DLR,839,0.6658730158730158
HST,839,0.6658730158730158
SNPS,839,0.6658730158730158
SRE,839,0.6658730158730158
ZION,839,0.6658730158730158
MKC,838,0.665079365079365
VNO,838,0.665079365079365
DRI,837,0.6642857142857143
DTE,837,0.6642857142857143
HSIC,837,0.6642857142857143
MTB,837,0.6642857142857143
RSG,837,0.6642857142857143
SJM,837,0.6642857142857143
SNA,837,0.6642857142857143
XYL,837,0.6642857142857143
D,832,0.6603174603174603
FE,832,0.6603174603174603
XEL,832,0.6603174603174603
FRT,830,0.6587301587301587
PBCT,830,0.6587301587301587
PNR,830,0.6587301587301587
ROP,830,0.6587301587301587
ALK,829,0.6579365079365079
AJG,828,0.6571428571428571
CCI,828,0.6571428571428571
EQR,828,0.6571428571428571
ES,828,0.6571428571428571
GIS,828,0.6571428571428571
KIM,828,0.6571428571428571
LNT,828,0.6571428571428571
MAS,828,0.6571428571428571
MMC,828,0.6571428571428571
NI,828,0.6571428571428571
NWS,828,0.6571428571428571
OMC,828,0.6571428571428571
PFG,828,0.6571428571428571
PNW,828,0.6571428571428571
PPL,828,0.6571428571428571
TEL,828,0.6571428571428571
TRV,828,0.6571428571428571
UDR,828,0.6571428571428571
WEC,828,0.6571428571428571
XRAY,828,0.6571428571428571
L,827,0.6563492063492063
AWK,825,0.6547619047619048
EXR,825,0.6547619047619048
FOX,825,0.6547619047619048
AEE,824,0.653968253968254
ALLE,824,0.653968253968254
AME,824,0.653968253968254
CINF,824,0.653968253968254
CMS,824,0.653968253968254
ETR,824,0.653968253968254
MAA,824,0.653968253968254
PEG,824,0.653968253968254
PKI,824,0.653968253968254
RHI,824,0.653968253968254
DD,820,0.6507936507936508
ANSS,819,0.65
M,819,0.65
UTX,818,0.6492063492063492
REG,810,0.6428571428571429
RJF,809,0.6420634920634921
CXO,797,0.6325396825396825
ARE,794,0.6301587301587301
HLT,787,0.6246031746031746
IT,784,0.6222222222222222
PKG,779,0.6182539682539683
INFO,776,0.6158730158730159
RMD,776,0.6158730158730159
UNM,775,0.6150793650793651
AOS,770,0.6111111111111112
RE,764,0.6063492063492063
HFC,752,0.5968253968253968
TRIP,748,0.5936507936507937
DRE,746,0.5920634920634921
JWN,745,0.5912698412698413
CDNS,742,0.5888888888888889
FLIR,742,0.5888888888888889
CBS,736,0.5841269841269842
VIAB,736,0.5841269841269842
IQV,730,0.5793650793650794
SBAC,730,0.5793650793650794
CELG,727,0.5769841269841269
VAR,726,0.5761904761904761
XRX,718,0.5698412698412698
SYMC,715,0.5674603174603174
RTN,714,0.5666666666666667
APTV,710,0.5634920634920635
FLS,710,0.5634920634920635
SLG,702,0.5571428571428572
FTI,686,0.5444444444444444
MSCI,679,0.5388888888888889
ARNC,677,0.5373015873015873
HII,672,0.5333333333333333
WELL,672,0.5333333333333333
IPGP,671,0.5325396825396825
ADS,668,0.5301587301587302
SIVB,659,0.523015873015873
NBL,657,0.5214285714285715
AIV,654,0.5190476190476191
APC,654,0.5190476190476191
CPRT,649,0.515079365079365
ABMD,642,0.5095238095238095
FLT,636,0.5047619047619047
RHT,632,0.5015873015873016
CBRE,628,0.4984126984126984
TMUS,624,0.49523809523809526
EVRG,620,0.49206349206349204
HRB,618,0.49047619047619045
MAT,610,0.48412698412698413
FLR,606,0.48095238095238096
BR,592,0.46984126984126984
HP,583,0.4626984126984127
FTNT,573,0.45476190476190476
KEYS,567,0.45
LVS,567,0.45
FANG,555,0.44047619047619047
GT,540,0.42857142857142855
ROL,539,0.42777777777777776
LIN,537,0.4261904761904762
LW,536,0.4253968253968254
NOW,532,0.4222222222222222
XEC,531,0.42142857142857143
TFX,530,0.42063492063492064
MAC,529,0.41984126984126985
JKHY,524,0.4158730158730159
CE,517,0.4103174603174603
FL,515,0.4087301587301587
VIAC,509,0.403968253968254
FRC,508,0.4031746031746032
BBT,507,0.4023809523809524
KORS,502,0.3984126984126984
WAB,499,0.396031746031746
ESRX,496,0.39365079365079364
JEC,488,0.3873015873015873
STI,488,0.3873015873015873
AMG,485,0.38492063492063494
MXIM,483,0.38333333333333336
AET,481,0.3817460317460317
HCP,477,0.37857142857142856
ATO,468,0.37142857142857144
CTVA,468,0.37142857142857144
LHX,466,0.36984126984126986
MKTX,452,0.35873015873015873
TSS,452,0.35873015873015873
PCG,441,0.35
DWDP,436,0.346031746031746
TMK,433,0.34365079365079365
RTX,431,0.34206349206349207
LDOS,417,0.33095238095238094
AMCR,415,0.32936507936507936
HRS,414,0.32857142857142857
LLL,413,0.3277777777777778
DPZ,411,0.3261904761904762
IEX,405,0.32142857142857145
GL,397,0.31507936507936507
NKTR,389,0.30873015873015874
PX,385,0.3055555555555556
NLOK,384,0.3047619047619048
BHGE,382,0.30317460317460315
CDW,382,0.30317460317460315
TFC,369,0.29285714285714287
TWX,366,0.2904761904761905
NFX,363,0.28809523809523807
PEAK,360,0.2857142857142857
BKR,359,0.2849206349206349
MON,359,0.2849206349206349
LYV,356,0.28253968253968254
ZBRA,354,0.28095238095238095
J,351,0.2785714285714286
ODFL,351,0.2785714285714286
SCG,351,0.2785714285714286
SRCL,350,0.2777777777777778
CPRI,346,0.2746031746031746
